127.0.0.1, 2018-05-16 21:23:54, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.138721
127.0.0.1, 2018-05-16 21:23:54, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001898
127.0.0.1, 2018-05-16 21:23:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001215
127.0.0.1, 2018-05-16 21:25:21, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.136086
127.0.0.1, 2018-05-16 21:25:21, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 200, 0.001739
127.0.0.1, 2018-05-16 21:25:21, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001659
127.0.0.1, 2018-05-16 21:25:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001519
127.0.0.1, 2018-05-16 21:25:55, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.137756
127.0.0.1, 2018-05-16 21:25:55, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.002064
127.0.0.1, 2018-05-16 21:25:55, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001584
127.0.0.1, 2018-05-16 21:25:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001381
127.0.0.1, 2018-05-16 21:27:18, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.716829
127.0.0.1, 2018-05-16 21:27:18, GET, /images/logo.png, HTTP/1.1, 400, 0.001290
127.0.0.1, 2018-05-16 21:27:18, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001465
127.0.0.1, 2018-05-16 21:27:18, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.062853
127.0.0.1, 2018-05-16 21:27:19, GET, /images/logo.png, HTTP/1.1, 400, 0.001448
127.0.0.1, 2018-05-16 21:27:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001255
127.0.0.1, 2018-05-16 21:27:41, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.139643
127.0.0.1, 2018-05-16 21:27:41, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001587
127.0.0.1, 2018-05-16 21:27:41, GET, /images/logo.png, HTTP/1.1, 400, 0.001330
127.0.0.1, 2018-05-16 21:27:41, GET, /favicon.ico, HTTP/1.1, 400, 0.001621
127.0.0.1, 2018-05-16 21:28:04, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.147181
127.0.0.1, 2018-05-16 21:28:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001253
127.0.0.1, 2018-05-16 21:29:20, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.171646
